contig	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_325	0	0	0	0	0	0	0	1.000000	0	0	0	0	0	0	0	0	0	0	0	0	1.749999	0.750001	0	0	0	0	0	0	0	0	0.250000	0	0.500000	0	0	0	0
OTU_324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_320	0	0.246944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.234718	0	0	0.493887	0	0.740831	0	0	0	0	0.246944	0.650367
OTU_323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221393	0	0	0	0	0	0	0.251244	0.502488	0	0	0	0.502487	0	0	0	0	0	1.004975
OTU_322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_482	0	0	0	0	0.251244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502488	0	0	0	0	0	0	0	0	0	0	0
OTU_483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_246	0	0	0	0	0	0.478673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478673	0	0	0	0	0	0	0	0	0	0	0.239336
OTU_247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_244	0	0.753732	0	0	0	0	0	0.251244	0.251244	0	0	0	0	0	0	0	0	0	0	0	0	0.251244	0.753732	0	0	0.251244	0	0.251244	0	0	0.251244	0	0	0	0	0.251244	0.251244
OTU_245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_243	0	0	0	0	0	0	0	0.221393	0.355721	0	0	0	0	0	0	0	0	0	0	0	0	0	1.507464	0	0	0	0.753732	0.251244	0.753732	0	0.430349	1.004976	0	0	0	0	0
OTU_240	0	0	0	0	0	0	0	2.365335	0	0	0	0	0	0.236534	0.473068	0	0	0	0.473068	0	0	1.182672	0	0.236534	0.236534	0	0.236534	1.398126	0.433255	0	0.946136	0.236534	0	0	0	0.709601	0
OTU_241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
